Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 15, 2018",110.38,113.51,104.69,104.69,"3,211,450","687,275,018"
"Jan 14, 2018",122.4,123.9,106.54,112,"3,883,150","734,425,849"
"Jan 13, 2018",116.94,126.12,116.94,122.74,"4,179,010","804,103,274"
"Jan 12, 2018",102.89,116.87,98.34,116.16,"3,361,030","760,133,987"
"Jan 11, 2018",113.88,114.45,92.09,102.25,"4,731,780","668,533,688"
"Jan 10, 2018",116.78,117.68,103.09,113.6,"3,557,950","742,080,879"
"Jan 09, 2018",111.96,126.81,110.59,116.79,"6,454,540","762,032,551"
"Jan 08, 2018",111.77,112.44,98.13,112,"5,565,010","730,083,121"
"Jan 07, 2018",113.77,120.66,107.47,114.4,"5,956,510","745,020,442"
"Jan 06, 2018",112.1,118.81,108.35,114.54,"3,359,940","745,147,963"
"Jan 05, 2018",114.53,118.07,107.3,109.95,"6,006,190","714,610,811"
"Jan 04, 2018",107.15,112.39,98.39,110.72,"5,116,920","718,909,035"
"Jan 03, 2018",107.55,110.89,99.52,107.12,"6,508,350","694,896,505"
"Jan 02, 2018",108.34,114.45,104.47,108.33,"6,666,070","701,940,712"
"Jan 01, 2018",96.31,109.59,93.56,109.01,"3,794,590","705,603,349"
"Dec 31, 2017",84.06,99.92,82.92,95.96,"3,204,200","620,530,495"
"Dec 30, 2017",98.94,99.59,79.64,84.94,"4,067,150","548,781,027"
"Dec 29, 2017",96.53,100.99,87.92,99.72,"4,725,950","643,648,484"
"Dec 28, 2017",95.89,96.5,82.88,89.19,"3,197,220","575,038,565"
"Dec 27, 2017",94.46,105.56,92.1,95.87,"4,378,580","617,469,682"
"Dec 26, 2017",91.69,98.3,88.23,94.75,"5,635,200","609,675,484"
"Dec 25, 2017",90.74,95.07,84.82,91.39,"3,238,670","587,457,180"
"Dec 24, 2017",87.57,89.72,74.58,89.72,"4,731,560","576,158,964"
"Dec 23, 2017",77.33,90.23,75.13,85.4,"3,755,830","547,833,497"
"Dec 22, 2017",93.76,95.05,58.13,76.63,"5,163,150","491,075,892"
"Dec 21, 2017",95.96,109.65,90.84,93.82,"7,503,270","600,602,140"
"Dec 20, 2017",92.2,97.64,79.6,95.52,"6,906,580","610,929,634"
"Dec 19, 2017",93.27,96.13,82.33,91.44,"8,885,100","584,317,959"
"Dec 18, 2017",85.72,93.36,79.22,92.64,"6,894,280","591,280,375"
"Dec 17, 2017",83.33,94.14,83.06,85.46,"6,839,700","544,968,341"
"Dec 16, 2017",70.98,90.82,70.98,83.97,"6,277,910","534,893,083"
"Dec 15, 2017",73.95,74.44,64.04,71.91,"3,811,390","457,554,640"
"Dec 14, 2017",73.4,74.26,67.62,73.72,"3,369,950","468,639,136"
"Dec 13, 2017",72.81,82.57,66.49,72.99,"7,515,370","463,575,979"
"Dec 12, 2017",58.26,72.71,56.46,71.61,"4,423,800","454,339,695"
"Dec 11, 2017",56.16,64.5,55.73,57.8,"2,280,320","366,282,514"
"Dec 10, 2017",53.75,62.62,47.07,56.19,"4,826,340","355,745,363"
"Dec 09, 2017",56.4,58.15,50.99,53.53,"2,095,120","338,553,266"
"Dec 08, 2017",50.12,57.47,46.47,56.87,"5,471,720","359,321,765"
"Dec 07, 2017",50.2,52.38,43.71,50.29,"5,119,330","317,383,950"
"Dec 06, 2017",56.06,57.29,48.08,50.4,"5,100,420","317,803,127"
"Dec 05, 2017",58.81,60.54,54.78,56.06,"3,611,860","353,145,899"
"Dec 04, 2017",54.14,58.3,51.99,58.27,"2,959,120","366,688,065"
"Dec 03, 2017",55.78,58.91,50.43,53.74,"3,757,050","337,781,432"
"Dec 02, 2017",58.17,58.9,54.21,55.41,"3,053,320","347,975,167"
"Dec 01, 2017",56.84,58.41,50.89,58.41,"3,625,560","366,396,822"
"Nov 30, 2017",49.68,67.37,45.11,56.64,"9,936,510","354,924,198"
"Nov 29, 2017",55.84,69.93,45.86,48.94,"10,574,400","306,337,012"
