"Date","Open.","High","Low","Close..","Volume","Market.Cap","project","daychange","daychange_per","date"
"Jun 20, 2018",0.549738,0.550554,0.525859,0.539286,"256,920,000","21,164,443,378","Ripple",0.0104519999999999,1.90126933193629,2018-06-20
"Jun 19, 2018",0.538614,0.558059,0.534595,0.549621,"255,400,000","21,570,043,602","Ripple",-0.011007,-2.0435785181967,2018-06-19
"Jun 18, 2018",0.52882,0.547794,0.511833,0.537495,"276,527,008","21,094,155,037","Ripple",-0.00867499999999999,-1.64044476381377,2018-06-18
"Jun 17, 2018",0.535536,0.538881,0.525215,0.528216,"166,028,000","20,729,997,855","Ripple",0.00731999999999999,1.36685488930716,2018-06-17
"Jun 16, 2018",0.537106,0.539293,0.523588,0.534784,"202,682,000","20,987,761,016","Ripple",0.00232199999999994,0.432316898340353,2018-06-16
"Jun 15, 2018",0.560062,0.560062,0.534301,0.537707,"241,684,992","21,102,475,042","Ripple",0.0223549999999999,3.99152236716648,2018-06-15
"Jun 14, 2018",0.535435,0.57059,0.526614,0.561306,"379,824,992","22,028,624,987","Ripple",-0.025871,-4.83177229729098,2018-06-14
"Jun 13, 2018",0.562845,0.564642,0.517036,0.534663,"359,864,992","20,982,481,909","Ripple",0.028182,5.00706233510115,2018-06-13
"Jun 12, 2018",0.602136,0.602139,0.556653,0.562933,"309,544,000","22,091,918,627","Ripple",0.039203,6.51065540010894,2018-06-12
"Jun 11, 2018",0.586198,0.604066,0.568721,0.604066,"336,547,008","23,706,154,937","Ripple",-0.017868,-3.04811684789098,2018-06-11
"Jun 10, 2018",0.659514,0.659514,0.561237,0.588126,"492,555,008","23,080,600,594","Ripple",0.071388,10.8243342825171,2018-06-10
"Jun 09, 2018",0.674778,0.678893,0.659755,0.659755,"175,990,000","25,891,631,461","Ripple",0.015023,2.22636185530649,2018-06-09
"Jun 08, 2018",0.677586,0.679668,0.660804,0.674343,"221,887,008","26,464,127,494","Ripple",0.003243,0.478610833163613,2018-06-08
"Jun 07, 2018",0.675313,0.688223,0.673146,0.678128,"244,568,000","26,612,667,217","Ripple",-0.0028149999999999,-0.416843745048578,2018-06-07
"Jun 06, 2018",0.677901,0.681668,0.660059,0.674797,"273,966,016","26,480,063,918","Ripple",0.003104,0.457883968308056,2018-06-06
"Jun 05, 2018",0.661898,0.68384,0.641428,0.677015,"386,328,000","26,567,101,622","Ripple",-0.015117,-2.28388664114411,2018-06-05
"Jun 04, 2018",0.692466,0.703623,0.644603,0.661425,"558,131,008","25,955,326,234","Ripple",0.031041,4.48267496165876,2018-06-04
"Jun 03, 2018",0.643412,0.673594,0.640891,0.671205,"327,804,000","26,339,108,357","Ripple",-0.0277930000000001,-4.3196272372912,2018-06-03
"Jun 02, 2018",0.623462,0.648982,0.619477,0.643451,"315,206,016","25,249,999,048","Ripple",-0.019989,-3.20612964382754,2018-06-02
"Jun 01, 2018",0.612893,0.624824,0.609069,0.623364,"263,088,000","24,461,754,519","Ripple",-0.010471,-1.70845482000937,2018-06-01
"May 31, 2018",0.603452,0.621636,0.596089,0.612622,"283,328,000","24,008,636,723","Ripple",-0.00917000000000001,-1.51959062195502,2018-05-31
"May 30, 2018",0.603769,0.627679,0.590058,0.605817,"320,604,992","23,741,948,989","Ripple",-0.00204800000000005,-0.339202575819568,2018-05-30
"May 29, 2018",0.556084,0.610749,0.551635,0.601241,"380,744,000","23,562,615,694","Ripple",-0.045157,-8.12053574639803,2018-05-29
"May 28, 2018",0.608368,0.609781,0.552299,0.552299,"327,903,008","21,644,580,268","Ripple",0.056069,9.2162967151461,2018-05-28
"May 27, 2018",0.61204,0.612884,0.603328,0.607881,"186,963,008","23,822,837,083","Ripple",0.00415900000000002,0.679530749624211,2018-05-27
"May 26, 2018",0.610118,0.626494,0.6038,0.612708,"213,242,000","24,012,007,060","Ripple",-0.00258999999999998,-0.424508045984544,2018-05-26
"May 25, 2018",0.632924,0.636208,0.603334,0.611001,"289,816,000","23,945,109,784","Ripple",0.021923,3.46376500180117,2018-05-25
"May 24, 2018",0.599207,0.640258,0.589272,0.631997,"440,532,992","24,767,942,357","Ripple",-0.03279,-5.47223246724421,2018-05-24
"May 23, 2018",0.648634,0.649121,0.586997,0.599594,"482,480,992","23,498,069,816","Ripple",0.0490400000000001,7.56050407471703,2018-05-23
"May 22, 2018",0.682151,0.682933,0.644588,0.645567,"234,712,992","25,299,750,226","Ripple",0.0365839999999999,5.36303545695894,2018-05-22
"May 21, 2018",0.700441,0.703051,0.676203,0.681587,"250,480,992","26,711,372,882","Ripple",0.0188539999999999,2.6917327797773,2018-05-21
"May 20, 2018",0.677258,0.704614,0.673348,0.700244,"275,614,016","27,442,540,120","Ripple",-0.022986,-3.39397984224623,2018-05-20
"May 19, 2018",0.680759,0.69045,0.665896,0.676713,"249,039,008","26,520,360,977","Ripple",0.00404599999999999,0.59433661545422,2018-05-19
"May 18, 2018",0.6654,0.685625,0.65339,0.680294,"344,944,000","26,660,700,253","Ripple",-0.014894,-2.23835287045386,2018-05-18
"May 17, 2018",0.713388,0.714618,0.661213,0.66731,"337,999,008","26,151,857,706","Ripple",0.0460780000000001,6.45903771860475,2018-05-17
"May 16, 2018",0.69592,0.714081,0.669438,0.714081,"429,641,984","27,984,811,710","Ripple",-0.018161,-2.60963903896999,2018-05-16
"May 15, 2018",0.738938,0.752269,0.692667,0.698588,"422,980,000","27,377,641,532","Ripple",0.04035,5.46053931452977,2018-05-15
"May 14, 2018",0.744701,0.756983,0.707693,0.740898,"613,462,016","29,035,769,088","Ripple",0.003803,0.510674754028798,2018-05-14
"May 13, 2018",0.698085,0.758977,0.680971,0.745748,"532,488,000","29,225,840,434","Ripple",-0.047663,-6.82767857782362,2018-05-13
"May 12, 2018",0.685772,0.714918,0.639771,0.696735,"596,684,992","27,305,022,521","Ripple",-0.0109629999999999,-1.5986362814463,2018-05-12
"May 11, 2018",0.756578,0.761326,0.656026,0.684948,"991,409,024","26,843,090,365","Ripple",0.07163,9.4676292464227,2018-05-11
"May 10, 2018",0.803212,0.808914,0.757342,0.758237,"399,324,000","29,706,405,924","Ripple",0.044975,5.59939343535704,2018-05-10
"May 09, 2018",0.813393,0.819969,0.7703,0.802043,"611,574,976","31,422,648,759","Ripple",0.0113500000000001,1.39538943659462,2018-05-09
"May 08, 2018",0.833086,0.846992,0.803568,0.81397,"465,040,992","31,889,927,859","Ripple",0.019116,2.29460103758796,2018-05-08
"May 07, 2018",0.871214,0.871236,0.812933,0.832641,"602,534,976","32,621,425,142","Ripple",0.0385730000000001,4.42750001721736,2018-05-07
"May 06, 2018",0.904235,0.918675,0.855972,0.871424,"640,057,024","34,140,875,579","Ripple",0.032811,3.62859212483481,2018-05-06
"May 05, 2018",0.895562,0.922354,0.895562,0.905103,"668,800,000","35,460,360,179","Ripple",-0.00954100000000002,-1.06536454204176,2018-05-05
"May 04, 2018",0.881536,0.927695,0.866922,0.895442,"1,007,609,984","35,081,859,015","Ripple",-0.013906,-1.57747386380136,2018-05-04
"May 03, 2018",0.85898,0.892916,0.847319,0.884466,"725,228,992","34,651,838,439","Ripple",-0.025486,-2.96700738084705,2018-05-03
"May 02, 2018",0.839355,0.86428,0.831713,0.859094,"544,425,984","33,636,838,508","Ripple",-0.0197390000000001,-2.35168671182039,2018-05-02
"May 01, 2018",0.838355,0.842069,0.797826,0.841407,"630,809,024","32,944,324,345","Ripple",-0.00305200000000005,-0.364046257253795,2018-05-01
"Apr 30, 2018",0.871404,0.876788,0.831208,0.837938,"575,363,968","32,802,091,383","Ripple",0.033466,3.84046894437023,2018-04-30
"Apr 29, 2018",0.864399,0.904945,0.83448,0.872778,"896,313,984","34,165,945,109","Ripple",-0.00837900000000003,-0.969344018213814,2018-04-29
"Apr 28, 2018",0.812063,0.887591,0.812063,0.863804,"788,718,976","33,814,647,080","Ripple",-0.051741,-6.37154999057955,2018-04-28
"Apr 27, 2018",0.851139,0.859641,0.813885,0.813885,"673,793,024","31,860,507,753","Ripple",0.037254,4.37695840514887,2018-04-27
"Apr 26, 2018",0.801774,0.852414,0.771787,0.852414,"1,028,590,016","33,368,771,823","Ripple",-0.05064,-6.31599428267816,2018-04-26
"Apr 25, 2018",0.932771,0.932771,0.779231,0.800607,"1,614,050,048","31,340,724,464","Ripple",0.132164,14.1689653730659,2018-04-25
"Apr 24, 2018",0.876012,0.96561,0.873566,0.934781,"1,572,930,048","36,593,127,159","Ripple",-0.058769,-6.70869805436455,2018-04-24
"Apr 23, 2018",0.866578,0.88629,0.863304,0.876657,"674,545,024","34,317,793,232","Ripple",-0.0100790000000001,-1.16308053054659,2018-04-23
"Apr 22, 2018",0.86682,0.911901,0.848091,0.869995,"946,398,976","34,036,636,008","Ripple",-0.00317499999999993,-0.366281350222645,2018-04-22
"Apr 21, 2018",0.925021,0.925021,0.821113,0.873103,"1,563,970,048","34,158,229,655","Ripple",0.051918,5.61262933490159,2018-04-21
"Apr 20, 2018",0.791172,0.938354,0.791172,0.924465,"2,344,069,888","36,167,654,650","Ripple",-0.133293,-16.847537577164,2018-04-20
"Apr 19, 2018",0.712059,0.791976,0.706841,0.791976,"878,328,000","30,984,314,668","Ripple",-0.079917,-11.2233677265508,2018-04-19
"Apr 18, 2018",0.657052,0.721426,0.657052,0.708932,"624,049,024","27,735,401,282","Ripple",-0.05188,-7.89587429914224,2018-04-18
"Apr 17, 2018",0.66489,0.677356,0.654346,0.656933,"442,352,992","25,701,055,067","Ripple",0.00795699999999999,1.19673931026185,2018-04-17
"Apr 16, 2018",0.682296,0.687165,0.63861,0.663297,"531,996,000","25,950,032,534","Ripple",0.018999,2.7845685743431,2018-04-16
"Apr 15, 2018",0.634883,0.682534,0.634143,0.682534,"609,636,992","26,702,637,741","Ripple",-0.047651,-7.50547738717212,2018-04-15
"Apr 14, 2018",0.63738,0.661508,0.616307,0.632184,"626,268,032","24,732,805,014","Ripple",0.00519599999999998,0.815212275251809,2018-04-14
